"text","sentiment"
"i will be seeing zootopia soon",""
"haha im vip in the ghetto so i get deadpool and zootopia first before all yall bitches jk i love u bootleg",""
"no bunny can help but dance to gazelles try everythingrt if you cant get it out of your head zootopia",""
"bowwow zootopia directordoodles carrie fishers dog gary fisher",""
"we have a dream 
tangled zootopia",""
"very stylish nick  judy fanart couldnt find the artist beautiful piece zootopia",""
"zootopia answers for fans some people asked for clarity so q should be clearer nowzootropolis zoomania",""
"why are nick  judy riding a trex my zootopia thank you to shanghai natural history museum for an amazing tour",""
"i think nick and judy should use that cosplays on comic con what do u think zootopia",""
"zootopia arrives on bluray dvd digital hd and dma on june th zootopia",""
"which side are you on zootopia civilwar",""
"i ship theseso hard lt nickxjudy zootopia 
check their cosplays out oo",""
"made me laugh zootopia disney",""
"happy mothers day to all the moms out there bonniehopps zootopia disney",""
"more of your top questions thanks for all the zootopia fan lovei always try to answer if i can",""
"retweeting a tweetfavorite to break up all the zootopia posts cuz its a winniethepooh kind of daydisney",""
"anything to sayzootopia",""
"you wanna be an elephant when you grow up you be an elephant because this is zootopia anyone can be anything zootopia",""
"nick wild  nick child zootopia ズートピア",""
"zootopiais wonderful d",""
"reminder im doing a giveaway of zootopia plz read for info",""
"wolves take a day off zootopia",""
"larry laaarrrrrryyyyyyyyy zootopia",""
"im planning on giving away a physical copy of zootopia when it comes out next month if youre interested rt",""
"love is like peeing your pants everyone can see it but only you can truly feel its warmth zootopia",""
"flash the sloth has insight on balancezootopia disney balance life disneylife",""
"omgoodness zootopia

art by",""
"nick wilde 

o 

zootopia nickwilde disneycaliforniaadventure dca californiaadventure",""
"proud mom zootopia zootopia nickwilde art by kingdomblade onhappymothersday",""
"its friday lets dance zootopia
art by",""
"zootopia mayat am",""
"oh there you went you little dickens zootopia",""
"trust us zootopians get it too zootopia",""
"its friyayzootopia",""
"my new artwork for zootopia hope for a zootopiazootopia",""
"im also giving away my digital copy codes of zootopia as well so if you dont win physical copy theres still a chance",""
"hey guysi was going to post this a few days ago but anywaysmade a few tweaks to his whiskers zootopiaズートピア http",""
"always happy to answer questions if i canzootopia disney sequel answers askbyron",""
"i guess at least youre a mom now judy wakes up from his dream whew glad it wasnt real zootopia mothersday",""
"nickjudy

주토피아 zootopia caligraphy",""
"made another zootopia fanart crossover i couldnt resist xd zootopiamaihime",""
"happy starwarsday from zootopia",""
"i cant contain my love for them both theyre so cute together ︎

 zootopia",""
"its here the official video for tryeverything shaks new song from the zootopia moviesha",""
"happy mothers day from shakira and zootopia zootopia zootopiaonbluray dvd happymothersday",""
"super cute  colorful zootopia art bylove these disney zootropolis",""
"visitto create your vid
see zootopia in thtrs this wknd get tixht",""
"did you check out shak in the official video for her new song tryeverything from the zootopia movie",""
"just watched zootopia think its very interesting they have a character named gideon grey",""
"watching with my daughter zootopia help",""
"everything else is stacked except nickwilde

zootopia",""
"human versions of nickwilde judyhopps clawhauser mayorlionheart zootopia zootropolis zootopie zoomania",""
"did you just you moaned im pretty sure you judy zootopia nickwilde judyhopps",""
"i dont know if laugh or cry w zootopia judyhopps nickwilde",""
"actuary kitty zootopia by silverfox",""
"zootopia felt very real at times especially the fear and paranoia of others who may be differentwas brave to include that",""
"the best cinestory comic allpages available at com zootopia zootropolis zootopie",""
"download now zootopie movie

zootopie zootopia disneycarton anime",""
"where are you going to preorder your copyzootopia zootropolis zootopie zoomania nickwilde judyhopps",""
"did you see gazelle in the poster for s zootopia check out shaks characters preyda ad shakhq",""
"ummmmmmmm this just happened dwts zootopia",""
"nickwilde enjoying his weekend zootopia zootropolis zootopie",""
"ahhhh the first day of spring zootopia zootropolis zootopie",""
"zootopia is s best film to date a story about accepting one anothers differences and to never give up dreaming tryeverything",""
"my happy songzootopia",""
"so i just saw zootopia and needless to say the subliminals in this are just wow",""
"a zootopia mustsee the jawdropping work of artdirector of environments",""
"finally got around to seeing zootopia beautifully done exceeded my expectations goodentertainment recommend",""
"love this still one of my favorite zootopia fanarts by teny issakhanian very sweethttp",""
"finally finished inking page two to zootopias the stinky cheese caper zootopia zootopiafanart zootopiacomic",""
"check out this little clip i got to animate for zootopia at disneyanimation",""
"being rejected by the cool kids is often the best thing that could happen to you forge your own path zootopia",""
"last year i tried to buy flowers and it was a disaster so i gave my mom money for a book or a dinner or zootopia tickets",""
"judy cant start each day without greeting her teddy nick 

zootopia︎",""
"what music do you think this bunny is hopping to tryeverything shakira zootopia zootropolis zootopie",""
"took all week but finally got the nick wilde avatar board d zootopia khunchainedx",""
"the zootopia event has arrived in kingdomhearts unchained χ",""
"vai votta vo voo vhe vext vhow vow veeya fan art of bobby catmull from zootopia zootopia fanart",""
"would like to see the film rokuyon or zootopia",""
"zootopia understands whitefeminism better than most people",""
"zootopia have fun",""
"looks lime an awesome furis taking me andto see zootopia yay",""
"ive never seen a blackwidow spider in fact ive never seen any kind of spider in zootopia wait is that one",""
"those wolves wanna take a selfie too zootopia",""
"the one thats not judy from zooptopia zootopia nickwilde",""
"about to watch zootopia atfamilyfunday partyof as notesfromas",""
"posting that selfie can wait head to a theatre to see zootopia this weekend
get ticketshtt",""
"zootopia m overseas totalm global total zootopia",""
"an appropriate end to the best derby car ive ever had ripnick zootopia thelowbudgets",""
"awkward vacation by fluttershythekind zootopia judyhopps nickwilde fanartfriday",""
"early development design i did for finnick zootopia in he was a very different little guy then disney",""
"early development of nick  judy compared by year zootopia disney 
im happy we changed her to gray",""
"beautiful fanart
zootopia 
zootropolis 
zoomania
zootopie
зверополис",""
"zootopia is grayt movie",""
"never getting over this zootopia starwars crossover bycc",""
"beautiful zootopia fanart by artist fernanda oliver",""
"a review for zootopia by michael giacchino",""
"zootopia with my mom aha",""
"things you need to know about disneys zootopia",""
"zootopia inspired childrens masks wwwjamjardesignshop zootopia childrensparty masks",""
"fanart
zootopia
zootropolis
zoomania
zootopie
зверополис 
fanart",""
"roundof questions i often get keep em coming thanks to all the super nice zootopia fans",""
"when you get caught singingtryeverything sunday lol gazelle zootopia",""
"on my th theatre viewing of zootopia i totally didnt film a few scenes i saw that i got high quality film  sound but not dark scenes",""
"nows the time to hurry and see zootopia in theaters if you havent yet",""
"in zootopia anyone can be anything zootropolis zootopia nickwilde judyhopps cosplay expomanga",""
"one month away from my summer movie night pick up from disney store zootopia",""
"zootopia even hops pastin the us m vglobally it was already ahead",""
"thank you judy nick and the rest of the zpd you made my day zootopia zootopiabloggers",""
"so fluffy zootopia",""
"when you get caught singingtryeverything byzootopia gazelle",""
"excuse the watermark it was a commission from a follower zootopia disney fanart",""
"btw took my mom on a movie date to see zootopia so fricking adorable and great and ummm i might have a crush on a very foxy jason bateman",""
"otter correct pawphone nickwilde zootopia zootropolis zootopie zoomania",""
"watching zootopia right now its out of sync but i dont care",""
"zootopia is so bad ass",""
"art to zootopia yaaay",""
"zootopia characters use of mobile devices felt genuine i bet helps it feel real to ss edtech tryeverything",""
"yeah fist bump
zootopia",""
"zootopia fan art i did the week of the premiere i was making one each day i thought they should be seen together",""
"wip art to zootopia",""
"nicke wilde with people and furries furry furries zootopia nickwilde vine by",""
"dam it ac you killed nick i guess that means there is no teamnick anymore its only teamjudy zootopia",""
"were hard at work at theprepping for a wild night at zootopia presented byspecial thx",""
